"Age","Address","Family.size","Parent.s.cohabition.status","Mother.s.education","Guardian","Time.from.home.to.school","Weekly.study.time","Number.of.past.class.failures","Extra.educational.support","Family.educational.support","Extra.paid.class","Extra.curricular.activity","Attended.nursery.school","Aims.for.higher.education","Internet.access","In.romantic.relationship","Evaluation.for.family.relationship","Evaluation.for.free.time.after.school","Frequent.going.out.with.friends","Current.health.status","Number.of.school.absences","Average.result"
18,"U","GT3","A","4","mother","2","2","0","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","4","3","4","3",6,5.66666666666667
17,"U","GT3","T","1","father","1","2","0","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","5","3","3","3",4,5.33333333333333
15,"U","LE3","T","1","mother","1","2","3","TRUE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","4","3","2","3",10,8.33333333333333
15,"U","GT3","T","4","mother","1","3","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","3","2","2","5",2,14.6666666666667
16,"U","GT3","T","3","father","1","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","4","3","2","5",4,8.66666666666667
16,"U","LE3","T","4","mother","1","2","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","5","4","2","5",10,15
16,"U","LE3","T","2","mother","1","2","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","4","4","4","3",0,11.6666666666667
17,"U","GT3","A","4","mother","2","2","0","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","4","1","4","1",6,5.66666666666667
15,"U","LE3","A","3","mother","1","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","4","2","2","1",0,17.6666666666667
15,"U","GT3","T","3","mother","1","2","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","5","5","1","5",0,14.6666666666667
15,"U","GT3","T","4","mother","1","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","3","3","3","2",0,9
15,"U","GT3","T","2","father","3","3","0","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","5","2","2","4",4,11.3333333333333
15,"U","LE3","T","4","father","1","1","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","4","3","3","5",2,14
15,"U","GT3","T","4","mother","2","2","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","5","4","3","3",2,10.3333333333333
15,"U","GT3","A","2","other","1","3","0","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","4","5","2","3",0,15.3333333333333
16,"U","GT3","T","4","mother","1","1","0","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","4","4","4","2",4,14
16,"U","GT3","T","4","mother","1","3","0","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","3","2","3","2",6,13.6666666666667
16,"U","GT3","T","3","mother","3","2","0","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","5","3","2","4",4,9.33333333333333
17,"U","GT3","T","3","mother","1","1","3","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","5","5","5","5",16,5.33333333333333
16,"U","LE3","T","4","father","1","1","0","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","3","1","3","5",4,9.33333333333333
15,"U","GT3","T","4","mother","1","2","0","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","4","4","1","1",0,14
15,"U","GT3","T","4","father","1","1","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","5","4","2","5",0,14
16,"U","LE3","T","4","mother","1","2","0","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","4","5","1","5",2,15.3333333333333
16,"U","LE3","T","2","mother","2","2","0","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","5","4","4","5",0,12.6666666666667
15,"R","GT3","T","2","mother","1","3","0","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","4","3","2","5",2,9
16,"U","GT3","T","2","mother","1","1","2","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","1","2","2","5",14,7.66666666666667
15,"U","GT3","T","2","mother","1","1","0","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","4","2","2","5",2,11.6666666666667
15,"U","GT3","T","4","mother","1","1","0","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","2","2","4","1",4,15.3333333333333
16,"U","LE3","A","3","mother","1","2","0","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","5","3","3","5",4,11
